ebno,Spectral.Efficiency,Time.Slot
0,0.0,Nio1
1,0.851779857864,Nio1
2,1.38374691864,Nio1
3,1.7715383383,Nio1
4,2.07686832702,Nio1
5,2.32873028144,Nio1
6,2.54308907388,Nio1
7,2.7296794358,Nio1
8,2.89487758287,Nio1
9,3.04308801035,Nio1
10,3.17748101056,Nio1
0,0.0,Nio2
1,1.18743650963,Nio2
2,1.82983092417,Nio2
3,2.27274916859,Nio2
4,2.61115069432,Nio2
5,2.8850638057,Nio2
6,3.11517681231,Nio2
7,3.31358533546,Nio2
8,3.48797715232,Nio2
9,3.64354376716,Nio2
10,3.78395636652,Nio2
0,0.0,Nio3
1,1.45813855683,Nio3
2,2.1683444351,Nio3
3,2.64214910329,Nio3
4,2.99822174106,Nio3
5,3.28357833471,Nio3
6,3.52170633177,Nio3
7,3.72604147388,Nio3
8,3.9049937081,Nio3
9,4.0641781377,Nio3
10,4.20753082742,Nio3
0,0.0,Nio4
1,1.68554063721,Nio4
2,2.44180700483,Nio4
3,2.93542719701,Nio4
4,3.30252911953,Nio4
5,3.59491224258,Nio4
6,3.83790841479,Nio4
7,4.04581547304,Nio4
8,4.22750027781,Nio4
9,4.38884268051,Nio4
10,4.53394274267,Nio4
0,0.0,Nio5
1,1.88174725374,Nio5
2,2.67138897891,Nio5
3,3.17881552662,Nio5
4,3.55346425311,Nio5
5,3.85060496156,Nio5
6,4.09687463623,Nio5
7,4.3071718428,Nio5
8,4.49067849525,Nio5
9,4.65345559578,Nio5
10,4.79971475998,Nio5
0,0.0,Nio6
1,2.0543455054,Nio6
2,2.86929961498,Nio6
3,3.38690129039,Nio6
4,3.76704101637,Nio6
5,4.0676179302,Nio6
6,4.3162406214,Nio6
7,4.5282501001,Nio6
8,4.71305863673,Nio6
9,4.87685898452,Nio6
10,5.02394356524,Nio6
0,0.0,Nio7
1,2.20843366796,Nio7
2,3.04325077299,Nio7
3,3.56866410118,Nio7
4,3.95297916861,Nio7
5,4.25615478376,Nio7
6,4.50655073652,Nio7
7,4.71984742124,Nio7
8,4.90563286475,Nio7
9,5.07019995407,Nio7
10,5.21790234475,Nio7
0,0.0,Nio8
1,2.34761111113,Nio8
2,3.19843366661,Nio8
3,3.73003369943,Nio8
4,4.11763107129,Nio8
5,4.42284102562,Nio8
6,4.67462139614,Nio8
7,4.88892113051,Nio8
8,5.07546676261,Nio8
9,5.24062985788,Nio8
10,5.38881207723,Nio8
0,0.0,Nio9
1,2.4745165499,Nio9
2,3.33851288032,Nio9
3,3.87513428311,Nio9
4,4.26537992334,Nio9
5,4.57222579523,Nio9
6,4.82511707143,Nio9
7,5.04022048907,Nio9
8,5.22737454457,Nio9
9,5.39301425486,Nio9
10,5.54157992702,Nio9
0,0.0,Nio10
1,2.59114327021,Nio10
2,3.46617296544,Nio10
3,4.00695150715,Nio10
4,4.39937900171,Nio10
5,4.70756902937,Nio10
6,4.96137150298,Nio10
7,5.17713332967,Nio10
8,5.36478538612,Nio10
9,5.53081494416,Nio10
10,5.67969409205,Nio10
