ebno,Spectral.Efficiency,Time.Slot
0,0.0,Nio1
1,0.701236787322,Nio1
2,1.17107618229,Nio1
3,1.52491324853,Nio1
4,1.80883484307,Nio1
5,2.04596368378,Nio1
6,2.24956312734,Nio1
7,2.42795105568,Nio1
8,2.58668892771,Nio1
9,2.7296794358,Nio1
10,2.85976691725,Nio1
0,0.0,Nio2
1,0.99537109099,Nio2
2,1.57878731572,Nio2
3,1.99305105507,Nio2
4,2.31451469473,Nio2
5,2.57723938066,Nio2
6,2.79941053277,Nio2
7,2.99188963652,Nio2
8,3.16168553373,Nio2
9,3.31358533546,Nio2
10,3.45100434231,Nio2
0,0.0,Nio3
1,1.23829462224,Nio3
2,1.89467803347,Nio3
3,2.34414241933,Nio3
4,2.68633909052,Nio3
5,2.96272939205,Nio3
6,3.19458660159,Nio3
7,3.3942897432,Nio3
8,3.56968057618,Nio3
9,3.72604147388,Nio3
10,3.86710070896,Nio3
0,0.0,Nio4
1,1.44574223482,Nio4
2,2.1531758113,Nio4
3,2.62575862623,Nio4
4,2.98114342224,Nio4
5,3.26605888341,Nio4
6,3.50387990967,Nio4
7,3.70798911726,Nio4
8,3.8867681061,Nio4
9,4.04581547304,Nio4
10,4.18905701936,Nio4
0,0.0,Nio5
1,1.62690516412,Nio5
2,2.37211492628,Nio5
3,2.86106059752,Nio5
4,3.22558188804,Nio5
5,3.51632881245,Nio5
6,3.75819496196,Nio5
7,3.96527475191,Nio5
8,4.14632774571,Nio5
9,4.3071718428,Nio5
10,4.45186883254,Nio5
0,0.0,Nio6
1,1.78775106705,Nio6
2,2.56206528081,Nio6
3,3.06320734169,Nio6
4,3.43443469992,Nio6
5,3.72942356842,Nio6
6,3.97421490571,Nio6
7,4.18343386581,Nio6
8,4.3661193027,Nio6
9,4.5282501001,Nio6
10,4.67398736957,Nio6
0,0.0,Nio7
1,1.93240245692,Nio7
2,2.72983674584,Nio7
3,3.240422485,Nio7
4,3.61678245501,Nio7
5,3.9149963222,Nio7
6,4.16200188002,Nio7
7,4.37283510178,Nio7
8,4.55674959277,Nio7
9,4.71984742124,Nio7
10,4.86636541888,Nio7
0,0.0,Nio8
1,2.06383473676,Nio8
2,2.88008263562,Nio8
3,3.3981977068,Nio8
4,3.7786129105,Nio8
5,4.07936165592,Nio8
6,4.32810176491,Nio8
7,4.54019656134,Nio8
8,4.72506989612,Nio8
9,4.88892113051,Nio8
10,5.03604673201,Nio8
0,0.0,Nio9
1,2.18426868844,Nio9
2,3.01612666207,Nio9
3,3.54038570464,Nio9
4,3.92408598598,Nio9
5,4.22687972834,Nio9
6,4.47701544128,Nio9
7,4.6901233895,Nio9
8,4.87576568999,Nio9
9,5.04022048907,Nio9
10,5.18783243778,Nio9
0,0.0,Nio10
1,2.29540701633,Nio10
2,3.1404268146,Nio10
3,3.66979485182,Nio10
4,4.05621054015,Nio10
5,4.36068896242,Nio10
6,4.61197188508,Nio10
7,4.82591139552,Nio10
8,5.01218412897,Nio10
9,5.17713332967,Nio10
10,5.3251433893,Nio10
