ebno,Spectral.Efficiency,Time.Slot
0,0.0,Nio1
1,0.441118002081,Nio1
2,0.778471050403,Nio1
3,1.05169789162,Nio1
4,1.28132678796,Nio1
5,1.47937550089,Nio1
6,1.65348938138,Nio1
7,1.80883484307,Nio1
8,1.94906728386,Nio1
9,2.07686832702,Nio1
10,2.19426366375,Nio1
0,0.0,Nio2
1,0.648711690934,Nio2
2,1.0945976419,Nio2
3,1.43472307593,Nio2
4,1.70976276218,Nio2
5,1.940669629,Nio2
6,2.13966772567,Nio2
7,2.31451469473,Nio2
8,2.47044330765,Nio2
9,2.61115069432,Nio2
10,2.73934603783,Nio2
0,0.0,Nio3
1,0.829186143072,Nio3
2,1.35240013699,Nio3
3,1.73554316241,Nio3
4,2.03799053863,Nio3
5,2.28789010876,Nio3
6,2.50082674575,Nio3
7,2.68633909052,Nio3
8,2.85069192708,Nio3
9,2.99822174106,Nio3
10,3.13205496413,Nio3
0,0.0,Nio4
1,0.989255010396,Nio4
2,1.57061799021,Nio4
3,1.98385235563,Nio4
4,2.30469748747,Nio4
5,2.56700946605,Nio4
6,2.78888564634,Nio4
7,2.98114342224,Nio4
8,3.15076711686,Nio4
9,3.30252911953,Nio4
10,3.43983535722,Nio4
0,0.0,Nio5
1,1.1331867874,Nio5
2,1.75994591967,Nio5
3,2.1954362467,Nio5
4,2.52949829071,Nio5
5,2.80056566767,Nio5
6,3.02866866398,Nio5
7,3.22558188804,Nio5
8,3.39881785077,Nio5
9,3.55346425311,Nio5
10,3.69312688765,Nio5
0,0.0,Nio6
1,1.26398298141,Nio6
2,1.92719751566,Nio6
3,2.37982486959,Nio6
4,2.72384556467,Nio6
5,3.00142262959,Nio6
6,3.23411363986,Nio6
7,3.43443469992,Nio6
8,3.61030180147,Nio6
9,3.76704101637,Nio6
10,3.90840801731,Nio6
0,0.0,Nio7
1,1.38386116989,Nio7
2,2.07700965772,Nio7
3,2.54324252835,Nio7
4,2.89503791418,Nio7
5,3.177645772,Nio7
6,3.41385840873,Nio7
7,3.61678245501,Nio7
8,3.79465188265,Nio7
9,3.95297916861,Nio7
10,4.0956364906,Nio7
0,0.0,Nio8
1,1.49451404809,Nio8
2,2.21268901357,Nio8
3,2.68998718414,Nio8
4,3.04802147439,Nio8
5,3.33463423776,Nio8
6,3.57363549419,Nio8
7,3.7786129105,Nio8
8,3.95805737544,Nio8
9,4.11763107129,Nio8
10,4.26129931082,Nio8
0,0.0,Nio9
1,1.5972658001,Nio9
2,2.33667951336,Nio9
3,2.82315426406,Nio9
4,3.18630619445,Nio9
5,3.47618295832,Nio9
6,3.7174472576,Nio9
7,3.92408598598,Nio9
8,4.10480186583,Nio9
9,4.26537992334,Nio9
10,4.40986161427,Nio9
0,0.0,Nio10
1,1.69317300064,Nio10
2,2.45083973833,Nio10
3,2.9450483542,Nio10
4,3.31247420557,Nio10
5,3.60506237176,Nio10
6,3.8482000021,Nio10
7,4.05621054015,Nio10
8,4.23797433077,Nio10
9,4.39937900171,Nio10
10,4.54452941408,Nio10
