ebno,Spectral.Efficiency,Time.Slot
0,0.0,Nio1
1,0.533134739142,Nio1
2,0.921543009056,Nio1
3,1.22725439644,Nio1
4,1.47937550089,Nio1
5,1.6939218522,Nio1
6,1.88065424745,Nio1
7,2.04596368378,Nio1
8,2.19426366375,Nio1
9,2.32873028144,Nio1
10,2.45172551596,Nio1
0,0.0,Nio2
1,0.773751186608,Nio2
2,1.27466059993,Nio2
3,1.64576085882,Nio2
4,1.940669629,Nio2
5,2.18540586602,Nio2
6,2.394584601,Nio2
7,2.57723938066,Nio2
8,2.73934603783,Nio2
9,2.8850638057,Nio2
10,3.01740434452,Nio2
0,0.0,Nio3
1,0.978820551636,Nio3
2,1.55665357382,Nio3
3,1.96811307805,Nio3
4,2.28789010876,Nio3
5,2.54948868794,Nio3
6,2.77085464322,Nio3
7,2.96272939205,Nio3
8,3.13205496413,Nio3
9,3.28357833471,Nio3
10,3.42068923924,Nio3
0,0.0,Nio4
1,1.15798116913,Nio4
2,1.79198032531,Nio4
3,2.23092496581,Nio4
4,2.56700946605,Nio4
5,2.83940488785,Nio4
6,3.06844675595,Nio4
7,3.26605888341,Nio4
8,3.43983535722,Nio4
9,3.59491224258,Nio4
10,3.73492582493,Nio4
0,0.0,Nio5
1,1.31717897366,Nio5
2,1.99406115173,Nio5
3,2.45295166084,Nio5
4,2.80056566767,Nio5
5,3.08047341843,Nio5
6,3.31479853764,Nio5
7,3.51632881245,Nio5
8,3.69312688765,Nio5
9,3.85060496156,Nio5
10,3.9925726119,Nio5
0,0.0,Nio6
1,1.46046639744,Nio6
2,2.17118963033,Nio6
3,2.6452219411,Nio6
4,3.00142262959,Nio6
5,3.28686130769,Nio6
6,3.52504640729,Nio6
7,3.72942356842,Nio6
8,3.90840801731,Nio6
9,4.0676179302,Nio6
10,4.2109912821,Nio6
0,0.0,Nio7
1,1.59075694881,Nio7
2,2.32887864508,Nio7
3,2.81480066111,Nio7
4,3.177645772,Nio7
5,3.46732738194,Nio7
6,3.70845661784,Nio7
7,3.9149963222,Nio7
8,4.0956364906,Nio7
9,4.25615478376,Nio7
10,4.40058809909,Nio7
0,0.0,Nio8
1,1.71022359097,Nio8
2,2.47098727073,Nio8
3,2.9664943196,Nio8
4,3.33463423776,Nio8
5,3.62767413438,Nio8
6,3.87112329116,Nio8
7,4.07936165592,Nio8
8,4.26129931082,Nio8
9,4.42284102562,Nio8
10,4.56810223806,Nio8
0,0.0,Nio9
1,1.82053302665,Nio9
2,2.60032530042,Nio9
3,3.10372426058,Nio9
4,3.47618295832,Nio9
5,3.77194722488,Nio9
6,4.01727169783,Nio9
7,4.22687972834,Nio9
8,4.40986161427,Nio9
9,4.57222579523,Nio9
10,4.71815157246,Nio9
0,0.0,Nio10
1,1.92299283282,Nio10
2,2.71900334834,Nio10
3,3.22901366277,Nio10
4,3.60506237176,Nio10
5,3.90308119433,Nio10
6,4.14995307534,Nio10
7,4.36068896242,Nio10
8,4.54452941408,Nio10
9,4.70756902937,Nio10
10,4.85404005561,Nio10
