ebno,Spectral.Efficiency,Time.Slot
0,0,Nio1
1,0.123552319636,Nio1
2,0.237353246822,Nio1
3,0.34283007869,Nio1
4,0.441118002081,Nio1
5,0.533134739142,Nio1
6,0.619632774429,Nio1
7,0.701236787322,Nio1
8,0.778471050403,Nio1
9,0.851779857864,Nio1
10,0.921543009056,Nio1
0,0,Nio2
1,0.191489242313,Nio2
2,0.360514619844,Nio2
3,0.511797610036,Nio2
4,0.648711690934,Nio2
5,0.773751186608,Nio2
6,0.888812484762,Nio2
7,0.99537109099,Nio2
8,1.0945976419,Nio2
9,1.18743650963,Nio2
10,1.27466059993,Nio2
0,0,Nio3
1,0.256009080306,Nio3
2,0.473362383912,Nio3
3,0.662216539253,Nio3
4,0.829186143072,Nio3
5,0.978820551636,Nio3
6,1.11438316364,Nio3
7,1.23829462224,Nio3
8,1.35240013699,Nio3
9,1.45813855683,Nio3
10,1.55665357382,Nio3
0,0,Nio4
1,0.317639697518,Nio4
2,0.577808073571,Nio4
3,0.798149839286,Nio4
4,0.989255010396,Nio4
5,1.15798116913,Nio4
6,1.30902447062,Nio4
7,1.44574223482,Nio4
8,1.57061799021,Nio4
9,1.68554063721,Nio4
10,1.79198032531,Nio4
0,0,Nio5
1,0.376686887797,Nio5
2,0.675105536879,Nio5
3,0.922251412318,Nio5
4,1.1331867874,Nio5
5,1.31717897366,Nio5
6,1.48033788403,Nio5
7,1.62690516412,Nio5
8,1.75994591967,Nio5
9,1.88174725374,Nio5
10,1.99406115173,Nio5
0,0,Nio6
1,0.433381073423,Nio6
2,0.766204393861,Nio6
3,1.03645683875,Nio6
4,1.26398298141,Nio6
5,1.46046639744,Nio6
6,1.63336972875,Nio6
7,1.78775106705,Nio6
8,1.92719751566,Nio6
9,2.0543455054,Nio6
10,2.17118963033,Nio6
0,0,Nio7
1,0.487913012346,Nio7
2,0.851862456666,Nio7
3,1.14224616539,Nio7
4,1.38386116989,Nio7
5,1.59075694881,Nio7
6,1.77166932066,Nio7
7,1.93240245692,Nio7
8,2.07700965772,Nio7
9,2.20843366796,Nio7
10,2.32887864508,Nio7
0,0,Nio8
1,0.540446981279,Nio8
2,0.93270080946,Nio8
3,1.24078396829,Nio8
4,1.49451404809,Nio8
5,1.71022359097,Nio8
6,1.89783611608,Nio8
7,2.06383473676,Nio8
8,2.21268901357,Nio8
9,2.34761111113,Nio8
10,2.47098727073,Nio8
0,0,Nio9
1,0.591127265682,Nio9
2,1.00923729703,Nio9
3,1.33300577511,Nio9
4,1.5972658001,Nio9
5,1.82053302665,Nio9
6,2.01383386057,Nio9
7,2.18426868844,Nio9
8,2.33667951336,Nio9
9,2.4745165499,Nio9
10,2.60032530042,Nio9
0,0,Nio10
1,0.640082064878,Nio10
2,1.08190923545,Nio10
3,1.41967555708,Nio10
4,1.69317300064,Nio10
5,1.92299283282,Nio10
6,2.12118348207,Nio10
7,2.29540701633,Nio10
8,2.45083973833,Nio10
9,2.59114327021,Nio10
10,2.71900334834,Nio10
