UMTS,262,2,801,86355,0,13.285512,52.522202,1000,7,1,1282569574,1300155341,0
GSM,262,2,801,1795,0,13.276907,52.525714,5716,9,1,1282569574,1300155341,0
GSM,262,2,801,1794,0,13.285064,52.524,6280,13,1,1282569574,1300796207,0
UMTS,262,2,801,211250,0,13.285446,52.521744,1000,3,1,1282569574,1299466955,0
UMTS,262,2,801,86353,0,13.293457,52.521515,1000,2,1,1282569574,1291380444,0
UMTS,262,2,801,86357,0,13.289106,52.53273,2400,3,1,1282569574,1298860769,0
UMTS,262,3,1107,83603,0,13.349675,52.497575,3102,222,1,1282672189,1300710809,0
GSM,262,2,776,867,0,13.349711,52.497367,1000,214,1,1282672189,1301575206,0
GSM,262,3,1107,13971,0,13.349743,52.497437,1000,212,1,1282672189,1300710809,0
GSM,262,3,1107,355,0,13.34963,52.497378,1000,198,1,1282672189,1300710809,0
UMTS,262,3,1107,329299,0,13.349223,52.497519,3041,186,1,1282672189,1299860879,0
UMTS,262,3,1107,83715,0,13.349055,52.497572,1515,200,1,1282672189,1300710809,0
UMTS,262,2,776,165382,0,13.349705,52.497369,1000,85,1,1282672189,1298547979,0
UMTS,262,3,1107,213267,0,13.348491,52.498547,2968,169,1,1282672189,1300451883,0
UMTS,262,2,801,165397,0,13.349311,52.497605,1000,134,1,1282672189,1300710809,0
UMTS,262,2,776,165665,0,13.349894,52.497346,1000,151,1,1282672189,1300710809,0
UMTS,262,2,801,67638,0,13.348902,52.497632,1994,119,1,1282672189,1300710809,0
UMTS,262,2,776,165381,0,13.348857,52.497514,1503,88,1,1282672189,1300710072,0
UMTS,262,2,776,66385,0,13.347863,52.498668,2933,146,1,1282672189,1300710072,0
GSM,262,2,776,1845,0,13.349544,52.497399,1000,164,1,1282672189,1300710809,0
UMTS,262,3,1107,329267,0,13.349726,52.497392,1000,76,1,1282672189,1300710072,0
GSM,262,3,1107,21027,0,13.337113,52.508959,1742,230,1,1282672189,1301544792,0
UMTS,262,3,1107,169811,0,13.34986,52.497252,1000,119,1,1282672189,1300451883,0
UMTS,262,2,801,67735,0,13.349873,52.497557,1000,74,1,1282672189,1300710072,0
